Frame,Unix Time,Name,Age (Confidence),Gender (Confidence),Emotion (Confidence),Race Percentages,Bounding Box
68,1737795983,Unknown,28,"{'Woman': 0.9541005827486515, 'Man': 99.04589653015137}",sad (55.85),"{'asian': 7.17640221118927, 'indian': 5.569604784250259, 'black': 2.1190758794546127, 'white': 34.51615571975708, 'middle eastern': 18.276752531528473, 'latino hispanic': 32.342007756233215}","(559, 259, 1509, 1070)"
69,1737795984,Unknown,26,"{'Woman': 1.1170306243002415, 'Man': 98.88296723365784}",sad (56.56),"{'asian': 6.717832386493683, 'indian': 3.0585335567593575, 'black': 1.2294392101466656, 'white': 43.44913065433502, 'middle eastern': 14.174766838550568, 'latino hispanic': 31.370297074317932}","(604, 276, 1461, 1073)"
70,1737795985,Unknown,30,"{'Woman': 0.25239414535462856, 'Man': 99.74760413169861}",neutral (76.25),"{'asian': 6.3006993413388335, 'indian': 6.8916585678850755, 'black': 2.3298481005339684, 'white': 30.900721603674985, 'middle eastern': 19.619798339593313, 'latino hispanic': 33.95727479203193}","(609, 274, 1462, 1073)"
71,1737795985,Unknown,34,"{'Woman': 13.742387294769287, 'Man': 86.25761270523071}",sad (99.92),"{'asian': 28.24213206768036, 'indian': 1.6428576782345772, 'black': 1.0449592024087906, 'white': 45.850151777267456, 'middle eastern': 7.4735477566719055, 'latino hispanic': 15.746349096298218}","(612, 282, 1470, 1073)"
72,1737795986,Unknown,26,"{'Woman': 0.7179437205195427, 'Man': 99.28205609321594}",neutral (98.86),"{'asian': 10.146480658440629, 'indian': 7.09981513618321, 'black': 3.1209295613127686, 'white': 20.448286560075672, 'middle eastern': 10.589676981549083, 'latino hispanic': 48.594811474967685}","(607, 276, 1463, 1072)"
73,1737795987,Unknown,27,"{'Woman': 1.8271299079060555, 'Man': 98.1728732585907}",neutral (97.13),"{'asian': 1.8524160608649254, 'indian': 1.465066708624363, 'black': 0.3738170489668846, 'white': 51.53794884681702, 'middle eastern': 12.407241761684418, 'latino hispanic': 32.3635071516037}","(619, 280, 1468, 1072)"
74,1737795988,Unknown,28,"{'Woman': 0.8845468983054161, 'Man': 99.11545515060425}",neutral (90.56),"{'asian': 4.259676858782768, 'indian': 4.816711321473122, 'black': 1.4493148773908615, 'white': 37.22710311412811, 'middle eastern': 19.29384618997574, 'latino hispanic': 32.95334279537201}","(613, 283, 1464, 1072)"
75,1737795989,Unknown,29,"{'Woman': 17.762821912765503, 'Man': 82.2371780872345}",happy (95.67),"{'asian': 6.753239780664444, 'indian': 4.962705448269844, 'black': 2.2962264716625214, 'white': 15.46216756105423, 'middle eastern': 6.636830419301987, 'latino hispanic': 63.88882398605347}","(607, 277, 1469, 1072)"
76,1737795989,Unknown,26,"{'Woman': 5.940703675150871, 'Man': 94.05930042266846}",happy (58.75),"{'asian': 4.24015572549769, 'indian': 2.887319558837361, 'black': 1.217332068661698, 'white': 38.15468408521224, 'middle eastern': 12.349329125801221, 'latino hispanic': 41.15117980851886}","(611, 276, 1473, 1072)"
77,1737795990,Unknown,35,"{'Woman': 37.0776504278183, 'Man': 62.92235255241394}",happy (97.43),"{'asian': 4.380347057539575, 'indian': 10.736657889287724, 'black': 1.914010527549919, 'white': 28.523388084961404, 'middle eastern': 29.500680625357553, 'latino hispanic': 24.944910413633536}","(609, 274, 1478, 1072)"
78,1737795991,Unknown,27,"{'Woman': 60.96348762512207, 'Man': 39.03651237487793}",happy (99.44),"{'asian': 9.758167713880539, 'indian': 13.695438206195831, 'black': 5.3208258002996445, 'white': 20.7022562623024, 'middle eastern': 27.279135584831238, 'latino hispanic': 23.24417531490326}","(611, 275, 1475, 1072)"
79,1737795992,Unknown,27,"{'Woman': 2.387365512549877, 'Man': 97.61263132095337}",sad (77.45),"{'asian': 10.985341487567602, 'indian': 3.4077354112548126, 'black': 1.4900527808133102, 'white': 33.16626050070053, 'middle eastern': 10.305212921525587, 'latino hispanic': 40.645398574518985}","(598, 270, 1478, 1072)"
80,1737795992,Unknown,29,"{'Woman': 14.016525447368622, 'Man': 85.98347306251526}",sad (80.55),"{'asian': 9.587407683575611, 'indian': 3.357033631624796, 'black': 1.030954780039476, 'white': 41.09055346790275, 'middle eastern': 11.8245563998554, 'latino hispanic': 33.10949403700197}","(596, 260, 1481, 1071)"
81,1737795993,Unknown,29,"{'Woman': 3.9666086435317993, 'Man': 96.03339433670044}",sad (41.02),"{'asian': 7.661529630422592, 'indian': 5.946922674775124, 'black': 1.7679674550890923, 'white': 27.69271433353424, 'middle eastern': 11.341357976198196, 'latino hispanic': 45.58950662612915}","(613, 268, 1492, 1070)"
82,1737795994,Unknown,29,"{'Woman': 75.87690353393555, 'Man': 24.123096466064453}",happy (53.11),"{'asian': 7.766080365543387, 'indian': 10.988700299781579, 'black': 4.41946488138824, 'white': 23.770208583486593, 'middle eastern': 28.292651670733193, 'latino hispanic': 24.762895689183217}","(601, 266, 1477, 1071)"
83,1737795995,Unknown,27,"{'Woman': 1.5064412727952003, 'Man': 98.49356412887573}",sad (63.05),"{'asian': 9.509220719337463, 'indian': 5.459775030612946, 'black': 2.307148091495037, 'white': 28.361740708351135, 'middle eastern': 12.49837726354599, 'latino hispanic': 41.86374247074127}","(596, 268, 1481, 1071)"
84,1737795996,Unknown,28,"{'Woman': 1.1232394725084305, 'Man': 98.87675642967224}",fear (29.87),"{'asian': 2.978833409686874, 'indian': 2.081172292688812, 'black': 0.5953994335503061, 'white': 52.40575046470756, 'middle eastern': 14.877572372249082, 'latino hispanic': 27.061265461294}","(547, 255, 1538, 1071)"
